WARN  | 31-05-2019 | 21:30:34 | com.epam.igorpystovit.LogTest -> 'warn test'  
ERROR | 31-05-2019 | 21:30:34 | com.epam.igorpystovit.LogTest -> 'error test'  
FATAL | 31-05-2019 | 21:30:34 | com.epam.igorpystovit.LogTest -> 'fatal test'  
WARN  | 31-05-2019 | 21:31:06 | com.epam.igorpystovit.LogTest -> 'warn test'  
ERROR | 31-05-2019 | 21:31:06 | com.epam.igorpystovit.LogTest -> 'error test'  
FATAL | 31-05-2019 | 21:31:06 | com.epam.igorpystovit.LogTest -> 'fatal test'  
ERROR | 02-06-2019 | 01:26:09 | com.epam.igorpystovit.model.Reader -> 'Bad Input'  
ERROR | 02-06-2019 | 13:21:06 | com.epam.igorpystovit.model.TextHandler -> 'Exception.sthWentWrong'  
ERROR | 02-06-2019 | 13:23:23 | com.epam.igorpystovit.model.TextHandler -> 'Something went wrong'  
ERROR | 02-06-2019 | 13:24:45 | com.epam.igorpystovit.model.TextHandler -> 'Something went wrong'  
ERROR | 02-06-2019 | 22:42:49 | com.epam.igorpystovit.view.Menu -> 'Bad request'  
ERROR | 02-06-2019 | 22:43:48 | com.epam.igorpystovit.view.Menu -> 'Bad request'  
ERROR | 02-06-2019 | 22:45:47 | com.epam.igorpystovit.view.Menu -> 'Bad request'  
ERROR | 02-06-2019 | 22:45:49 | com.epam.igorpystovit.view.Menu -> 'Bad request'  
ERROR | 02-06-2019 | 22:46:50 | com.epam.igorpystovit.view.Menu -> 'Bad request'  
ERROR | 02-06-2019 | 22:47:27 | com.epam.igorpystovit.view.Menu -> 'Неверный запрос'  
ERROR | 02-06-2019 | 22:55:33 | com.epam.igorpystovit.model.Reader -> 'Bad Input'  
ERROR | 02-06-2019 | 22:55:33 | com.epam.igorpystovit.model.Reader -> 'Bad Input'  
ERROR | 02-06-2019 | 22:55:33 | com.epam.igorpystovit.model.Reader -> 'Bad Input'  
ERROR | 02-06-2019 | 22:55:33 | com.epam.igorpystovit.model.Reader -> 'Bad Input'  
ERROR | 02-06-2019 | 22:55:33 | com.epam.igorpystovit.model.Reader -> 'Bad Input'  
ERROR | 02-06-2019 | 22:55:33 | com.epam.igorpystovit.model.Reader -> 'Bad Input'  
ERROR | 02-06-2019 | 22:55:33 | com.epam.igorpystovit.model.Reader -> 'Bad Input'  
ERROR | 02-06-2019 | 22:55:33 | com.epam.igorpystovit.model.Reader -> 'Bad Input'  
ERROR | 02-06-2019 | 22:55:33 | com.epam.igorpystovit.model.Reader -> 'Bad Input'  
ERROR | 02-06-2019 | 22:56:03 | com.epam.igorpystovit.model.Reader -> 'Bad Input'  
ERROR | 02-06-2019 | 22:56:03 | com.epam.igorpystovit.model.Reader -> 'Bad Input'  
ERROR | 02-06-2019 | 22:56:03 | com.epam.igorpystovit.model.Reader -> 'Bad Input'  
ERROR | 02-06-2019 | 22:56:03 | com.epam.igorpystovit.model.Reader -> 'Bad Input'  
ERROR | 02-06-2019 | 22:56:03 | com.epam.igorpystovit.model.Reader -> 'Bad Input'  
ERROR | 02-06-2019 | 22:56:03 | com.epam.igorpystovit.model.Reader -> 'Bad Input'  
ERROR | 02-06-2019 | 22:56:03 | com.epam.igorpystovit.model.Reader -> 'Bad Input'  
ERROR | 02-06-2019 | 22:56:03 | com.epam.igorpystovit.model.Reader -> 'Bad Input'  
ERROR | 02-06-2019 | 22:56:03 | com.epam.igorpystovit.model.Reader -> 'Bad Input'  
ERROR | 02-06-2019 | 22:56:03 | com.epam.igorpystovit.model.Reader -> 'Bad Input'  
ERROR | 02-06-2019 | 22:56:03 | com.epam.igorpystovit.model.Reader -> 'Bad Input'  
ERROR | 02-06-2019 | 22:56:03 | com.epam.igorpystovit.model.Reader -> 'Bad Input'  
ERROR | 02-06-2019 | 22:56:03 | com.epam.igorpystovit.model.Reader -> 'Bad Input'  
